[ 2012-09-10T10:27:08+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.081866s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.169273s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.062683s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.062922s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.274577s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.274757s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.025273s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.010990s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.011505s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.037442s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.085657s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.008948s ]
[ 2012-09-10T10:27:09+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.009096s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001725s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001998s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001867s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002016s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019527s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019696s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000905s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000845s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000474s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000905s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003419s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001401s ]
[ 2012-09-10T10:27:20+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001545s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001357s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001573s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000891s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001027s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018930s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019084s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000804s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001101s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000799s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000961s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004013s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --START--
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001214s ]
[ 2012-09-10T10:27:26+08:00 ] /talent_pool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001366s ]
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001452s ]
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001798s ]
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --START--
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000903s ]
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001090s ]
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018571s ]
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018731s ]
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-10T10:27:31+08:00 ] /talent_pool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000880s ]
