[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ route_check ] --START--
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run CheckRoute Behavior [ RunTime:0.003148s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ route_check ] --END-- [ RunTime:0.003493s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ app_begin ] --START--
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002738s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003033s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | NOTIC: [2] Missing argument 1 for CompanyAction::talent_search() CompanyAction.class.php 第 39 行.
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | NOTIC: [8] Undefined variable: filter CompanyAction.class.php 第 40 行.
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | SQL: SHOW COLUMNS FROM `student` [ RunTime:0.017839s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | SQL: SELECT * FROM `student` LIMIT 0,30   [ RunTime:0.001864s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | SQL: SHOW COLUMNS FROM `university` [ RunTime:0.014702s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | SQL: SELECT * FROM `university` WHERE ( `uid` = 'SYSU' ) LIMIT 1   [ RunTime:0.001432s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | SQL: SHOW COLUMNS FROM `university` [ RunTime:0.017252s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | SQL: SELECT * FROM `university` WHERE ( `uid` = 'SYSU' ) LIMIT 1   [ RunTime:0.001419s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_template ] --START--
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run LocationTemplate Behavior [ RunTime:0.003344s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_template ] --END-- [ RunTime:0.003641s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_parse ] --START--
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run ParseTemplate Behavior [ RunTime:0.039782s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040106s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_filter ] --START--
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run ContentReplace Behavior [ RunTime:0.002216s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run TokenBuild Behavior [ RunTime:0.002519s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001329s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run ShowRuntime Behavior [ RunTime:0.002478s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009306s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_end ] --START--
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Run ShowPageTrace Behavior [ RunTime:0.001941s ]
[ 2012-10-13T00:00:07+08:00 ] /talent_pool/index.php/Company/talent_search | INFO: Tag[ view_end ] --END-- [ RunTime:0.002217s ]
